,BOP_confirmed,BOP_deaths,BOP_hospitalized,BOP_recovered,JHU_confirmed,JHU_deaths,JHU_recovered,NIHFogarty_confirmed,NIHFogarty_deaths,NIHFogarty_hospitalized,Tencent_confirmed,Tencent_deaths,Tencent_recovered,Tencent_suspected
2020-01-22,,,,,0.0,0.0,0.0,,,,,,,
2020-01-23,,,,,0.0,0.0,0.0,,,,,,,
2020-01-24,,,,,0.0,0.0,0.0,,,,,,,
2020-01-25,4.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,,,,
2020-01-26,,,,,4.0,0.0,0.0,5.0,0.0,3.0,,,,
2020-01-27,5.0,0.0,4.0,0.0,5.0,0.0,0.0,,,,,,,
2020-01-28,,,,,5.0,0.0,0.0,,,,,,,
2020-01-29,7.0,0.0,4.0,0.0,6.0,0.0,0.0,7.0,0.0,4.0,,,,
2020-01-30,9.0,0.0,4.0,0.0,9.0,0.0,2.0,8.0,0.0,4.0,,,,
2020-01-31,,,,,9.0,0.0,2.0,9.0,0.0,4.0,,,,
2020-02-01,12.0,0.0,5.0,0.0,12.0,0.0,2.0,12.0,0.0,5.0,,,,
2020-02-02,,,,,12.0,0.0,2.0,,,,,,,
2020-02-03,,,,,12.0,0.0,2.0,,,,,,,
2020-02-04,13.0,0.0,5.0,0.0,13.0,0.0,2.0,13.0,0.0,5.0,13.0,0.0,2.0,0.0
2020-02-05,14.0,0.0,5.0,0.0,13.0,0.0,2.0,14.0,0.0,5.0,14.0,0.0,2.0,0.0
2020-02-06,15.0,0.0,5.0,0.0,14.0,0.0,2.0,15.0,0.0,5.0,15.0,0.0,5.0,0.0
2020-02-07,,,,,15.0,0.0,2.0,,,,0.0,0.0,0.0,0.0
2020-02-08,,,,,15.0,0.0,2.0,,,,,,,
2020-02-09,,,,,15.0,0.0,2.0,,,,,,,
2020-02-10,,,,,15.0,0.0,2.0,,,,15.0,0.0,5.0,0.0
2020-02-11,,,,,15.0,0.0,2.0,,,,15.0,0.0,5.0,0.0
2020-02-12,,,,,15.0,0.0,2.0,,,,,,,
2020-02-13,,,,,15.0,0.0,8.0,,,,15.0,0.0,5.0,0.0
2020-02-14,,,,,15.0,0.0,8.0,,,,15.0,0.0,5.0,0.0
2020-02-15,,,,,15.0,0.0,8.0,,,,15.0,0.0,5.0,0.0
2020-02-16,,,,,15.0,0.0,8.0,,,,0.0,0.0,0.0,0.0
2020-02-17,,,,,15.0,0.0,10.0,,,,0.0,0.0,0.0,0.0
2020-02-18,,,,,15.0,0.0,10.0,,,,15.0,0.0,5.0,0.0
2020-02-19,,,,,15.0,0.0,10.0,,,,15.0,0.0,5.0,0.0
2020-02-20,,,,,,,,,,,15.0,0.0,5.0,0.0
