,BOP_confirmed,BOP_deaths,BOP_hospitalized,BOP_recovered,JHU_confirmed,JHU_deaths,JHU_recovered,NIHFogarty_confirmed,NIHFogarty_deaths,NIHFogarty_hospitalized,Tencent_confirmed,Tencent_deaths,Tencent_recovered,Tencent_suspected
2020-01-22,,,,,0.0,0.0,0.0,,,,,,,
2020-01-23,,,,,0.0,0.0,0.0,,,,,,,
2020-01-24,,,,,0.0,0.0,0.0,,,,,,,
2020-01-25,,,,,0.0,0.0,0.0,,,,,,,
2020-01-26,,,,,0.0,0.0,0.0,,,,,,,
2020-01-27,,,,,0.0,0.0,0.0,,,,,,,
2020-01-28,,,,,0.0,0.0,0.0,,,,,,,
2020-01-29,,,,,0.0,0.0,0.0,,,,,,,
2020-01-30,,,,,0.0,0.0,0.0,,,,,,,
2020-01-31,,,,,0.0,0.0,0.0,,,,,,,
2020-02-01,,,,,0.0,0.0,0.0,,,,,,,
2020-02-02,,,,,0.0,0.0,0.0,,,,,,,
2020-02-03,,,,,0.0,0.0,0.0,,,,,,,
2020-02-04,,,,,0.0,0.0,0.0,,,,,,,
2020-02-05,,,,,0.0,0.0,0.0,,,,,,,
2020-02-06,,,,,0.0,0.0,0.0,,,,,,,
2020-02-07,,,,,0.0,0.0,0.0,,,,,,,
2020-02-08,,,,,0.0,0.0,0.0,,,,,,,
2020-02-09,,,,,0.0,0.0,0.0,,,,,,,
2020-02-10,,,,,0.0,0.0,0.0,,,,,,,
2020-02-11,,,,,0.0,0.0,0.0,,,,,,,
2020-02-12,,,,,0.0,0.0,0.0,,,,,,,
2020-02-13,,,,,0.0,0.0,0.0,,,,,,,
2020-02-14,,,,,0.0,0.0,0.0,,,,,,,
2020-02-15,,,,,0.0,0.0,0.0,,,,,,,
2020-02-16,,,,,0.0,0.0,0.0,,,,,,,
2020-02-17,,,,,0.0,0.0,0.0,,,,,,,
2020-02-18,,,,,0.0,0.0,0.0,,,,,,,
2020-02-19,,,,,0.0,0.0,0.0,,,,,,,
2020-02-20,,,,,0.0,0.0,0.0,,,,,,,
2020-02-21,,,,,0.0,0.0,0.0,,,,,,,
2020-02-22,,,,,0.0,0.0,0.0,,,,,,,
2020-02-23,,,,,0.0,0.0,0.0,,,,,,,
2020-02-24,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,,,,
2020-02-25,10.0,0.0,1.0,0.0,23.0,0.0,0.0,17.0,0.0,0.0,23.0,0.0,0.0,0.0
2020-02-26,20.0,0.0,1.0,0.0,33.0,0.0,0.0,,,,,,,
2020-02-27,,,,,33.0,0.0,0.0,,,,33.0,0.0,0.0,0.0
2020-02-28,,,,,36.0,0.0,0.0,,,,33.0,0.0,0.0,0.0
2020-02-29,,,,,41.0,0.0,0.0,,,,33.0,0.0,0.0,0.0
2020-03-01,,,,,47.0,0.0,0.0,,,,33.0,0.0,0.0,0.0
2020-03-02,,,,,49.0,0.0,0.0,,,,33.0,0.0,0.0,0.0
2020-03-03,,,,,49.0,0.0,0.0,,,,33.0,0.0,0.0,0.0
2020-03-04,,,,,52.0,0.0,0.0,,,,33.0,0.0,0.0,0.0
2020-03-05,,,,,,,,,,,33.0,0.0,0.0,0.0
