,BOP_confirmed,BOP_deaths,BOP_hospitalized,BOP_recovered,JHU_confirmed,JHU_deaths,JHU_recovered,NIHFogarty_confirmed,NIHFogarty_deaths,NIHFogarty_hospitalized,Tencent_confirmed,Tencent_deaths,Tencent_recovered,Tencent_suspected
2020-01-22,,,,,0,0,0,,,,,,,
2020-01-23,,,,,0,0,0,,,,,,,
2020-01-24,3.0,0.0,3.0,0.0,2,0,0,,,,,,,
2020-01-25,,,,,3,0,0,3.0,0.0,3.0,,,,
2020-01-26,,,,,3,0,0,,,,,,,
2020-01-27,,,,,3,0,0,,,,,,,
2020-01-28,4.0,0.0,3.0,0.0,4,0,0,4.0,0.0,4.0,,,,
2020-01-29,5.0,0.0,3.0,0.0,5,0,0,5.0,0.0,4.0,,,,
2020-01-30,,,,,5,0,0,6.0,0.0,4.0,,,,
2020-01-31,6.0,0.0,3.0,0.0,5,0,0,,,,,,,
2020-02-01,,,,,6,0,0,,,,,,,
2020-02-02,,,,,6,0,0,,,,,,,
2020-02-03,,,,,6,0,0,,,,,,,
2020-02-04,,,,,6,0,0,,,,6.0,0.0,0.0,0.0
2020-02-05,,,,,6,0,0,,,,6.0,0.0,0.0,0.0
2020-02-06,,,,,6,0,0,,,,6.0,0.0,0.0,0.0
2020-02-07,,,,,6,0,0,,,,6.0,0.0,0.0,0.0
2020-02-08,11.0,0.0,3.0,0.0,11,0,0,11.0,0.0,4.0,,,,
2020-02-09,,,,,11,0,0,,,,,,,
2020-02-10,,,,,11,0,0,,,,11.0,0.0,0.0,0.0
2020-02-11,,,,,11,0,0,,,,11.0,0.0,0.0,0.0
2020-02-12,,,,,11,0,2,,,,,,,
2020-02-13,,,,,11,0,2,,,,11.0,0.0,0.0,0.0
2020-02-14,,,,,11,0,2,,,,11.0,0.0,0.0,0.0
2020-02-15,12.0,0.0,3.0,0.0,12,1,4,12.0,0.0,4.0,11.0,1.0,1.0,0.0
2020-02-16,,,,,12,1,4,,,,12.0,1.0,4.0,0.0
2020-02-17,,,,,12,1,4,,,,12.0,1.0,4.0,0.0
2020-02-18,,,,,12,1,4,,,,12.0,1.0,4.0,0.0
2020-02-19,,,,,12,1,4,,,,12.0,1.0,4.0,0.0
2020-02-20,,,,,12,1,4,,,,,,,
2020-02-21,,,,,12,1,4,,,,12.0,1.0,4.0,0.0
2020-02-22,,,,,12,1,4,,,,12.0,1.0,4.0,0.0
2020-02-23,,,,,12,1,4,,,,12.0,1.0,4.0,0.0
2020-02-24,,,,,12,1,4,,,,12.0,1.0,11.0,0.0
