,BOP_confirmed,BOP_deaths,BOP_hospitalized,BOP_recovered,JHU_confirmed,JHU_deaths,JHU_recovered,NIHFogarty_confirmed,NIHFogarty_deaths,NIHFogarty_hospitalized,Tencent_confirmed,Tencent_deaths,Tencent_recovered,Tencent_suspected
2020-01-22,,,,,0.0,0.0,0.0,,,,,,,
2020-01-23,,,,,0.0,0.0,0.0,,,,,,,
2020-01-24,,,,,0.0,0.0,0.0,,,,,,,
2020-01-25,,,,,0.0,0.0,0.0,,,,,,,
2020-01-26,,,,,0.0,0.0,0.0,,,,,,,
2020-01-27,1.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,
2020-01-28,4.0,0.0,0.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,,,,
2020-01-29,,,,,4.0,0.0,0.0,4.0,0.0,0.0,,,,
2020-01-30,5.0,0.0,0.0,1.0,4.0,0.0,0.0,5.0,0.0,0.0,,,,
2020-01-31,7.0,0.0,0.0,1.0,5.0,0.0,0.0,7.0,0.0,0.0,,,,
2020-02-01,,,,,8.0,0.0,0.0,8.0,0.0,0.0,,,,
2020-02-02,10.0,0.0,0.0,1.0,10.0,0.0,0.0,10.0,0.0,0.0,,,,
2020-02-03,12.0,0.0,0.0,1.0,12.0,0.0,0.0,,,,,,,
2020-02-04,,,,,12.0,0.0,0.0,,,,12.0,0.0,0.0,0.0
2020-02-05,13.0,0.0,0.0,1.0,12.0,0.0,0.0,12.0,0.0,0.0,12.0,0.0,0.0,0.0
2020-02-06,,,,,12.0,0.0,0.0,13.0,0.0,0.0,12.0,0.0,0.0,0.0
2020-02-07,14.0,0.0,0.0,1.0,13.0,0.0,0.0,14.0,0.0,0.0,13.0,0.0,0.0,0.0
2020-02-08,,,,,13.0,0.0,0.0,,,,,,,
2020-02-09,,,,,14.0,0.0,0.0,,,,,,,
2020-02-10,,,,,14.0,0.0,0.0,,,,14.0,0.0,0.0,0.0
2020-02-11,16.0,0.0,0.0,1.0,16.0,0.0,0.0,16.0,0.0,0.0,14.0,0.0,0.0,0.0
2020-02-12,,,,,16.0,0.0,0.0,,,,,,,
2020-02-13,,,,,16.0,0.0,1.0,,,,16.0,0.0,0.0,0.0
2020-02-14,,,,,16.0,0.0,1.0,,,,16.0,0.0,1.0,0.0
2020-02-15,,,,,16.0,0.0,1.0,,,,,,,
2020-02-16,,,,,16.0,0.0,1.0,,,,16.0,0.0,1.0,0.0
2020-02-17,,,,,16.0,0.0,1.0,,,,,,,
2020-02-18,,,,,16.0,0.0,12.0,,,,,,,
2020-02-19,,,,,16.0,0.0,12.0,,,,16.0,0.0,7.0,0.0
2020-02-20,,,,,16.0,0.0,12.0,,,,,,,
2020-02-21,,,,,16.0,0.0,14.0,,,,16.0,0.0,7.0,0.0
2020-02-22,,,,,16.0,0.0,14.0,,,,16.0,0.0,7.0,0.0
2020-02-23,,,,,16.0,0.0,14.0,,,,16.0,0.0,14.0,0.0
2020-02-24,,,,,16.0,0.0,14.0,,,,16.0,0.0,14.0,0.0
2020-02-25,19.0,0.0,1.0,1.0,17.0,0.0,14.0,,,,,,,
2020-02-26,25.0,0.0,1.0,1.0,27.0,0.0,15.0,26.0,0.0,3.0,19.0,0.0,14.0,0.0
2020-02-27,49.0,0.0,3.0,1.0,46.0,0.0,16.0,48.0,0.0,4.0,45.0,0.0,14.0,0.0
2020-02-28,65.0,0.0,3.0,1.0,48.0,0.0,16.0,56.0,0.0,4.0,48.0,0.0,14.0,0.0
2020-02-29,69.0,0.0,4.0,1.0,79.0,0.0,16.0,57.0,0.0,4.0,66.0,0.0,16.0,0.0
2020-03-01,82.0,0.0,5.0,1.0,130.0,0.0,16.0,64.0,0.0,4.0,66.0,0.0,16.0,0.0
2020-03-02,103.0,0.0,5.0,1.0,159.0,0.0,16.0,76.0,0.0,5.0,66.0,0.0,16.0,0.0
2020-03-03,129.0,0.0,5.0,1.0,196.0,0.0,16.0,93.0,0.0,5.0,66.0,0.0,16.0,0.0
2020-03-04,191.0,0.0,5.0,1.0,262.0,0.0,16.0,124.0,0.0,5.0,66.0,0.0,16.0,0.0
2020-03-05,258.0,0.0,5.0,1.0,482.0,0.0,16.0,152.0,0.0,5.0,66.0,0.0,16.0,0.0
2020-03-06,331.0,0.0,5.0,1.0,670.0,0.0,17.0,165.0,0.0,5.0,66.0,0.0,16.0,0.0
2020-03-07,440.0,0.0,5.0,1.0,799.0,0.0,18.0,167.0,0.0,5.0,66.0,0.0,16.0,0.0
2020-03-08,444.0,0.0,5.0,1.0,1040.0,0.0,18.0,1457.0,0.0,5.0,66.0,0.0,16.0,0.0
2020-03-09,,,,,1176.0,2.0,18.0,,,,66.0,0.0,16.0,0.0
2020-03-10,,,,,1457.0,2.0,18.0,,,,66.0,0.0,16.0,0.0
2020-03-11,,,,,,,,,,,66.0,0.0,16.0,0.0
