,BOP_confirmed,BOP_deaths,BOP_hospitalized,BOP_recovered,JHU_confirmed,JHU_deaths,JHU_recovered,NIHFogarty_confirmed,NIHFogarty_deaths,NIHFogarty_hospitalized,Tencent_confirmed,Tencent_deaths,Tencent_recovered,Tencent_suspected
2020-01-22 00:00:00,,,,,0,0,0,,,,,,,
2020-01-23 00:00:00,,,,,2,0,0,,,,,,,
2020-01-24 00:00:00,,,,,2,0,0,,,,,,,
2020-01-25 00:00:00,,,,,5,0,0,,,,,,,
2020-01-26 00:00:00,,,,,8,0,0,,,,,,,
2020-01-27 00:00:00,,,,,8,0,0,,,,,,,
2020-01-28 00:00:00,,,,,8,0,0,,,,,,,
2020-01-29 00:00:00,,,,,10,0,0,,,,,,,
2020-01-30 00:00:00,,,,,10,0,0,,,,,,,
2020-01-31 00:00:00,,,,,12,0,0,,,,,,,
2020-02-01 00:00:00,,,,,13,0,0,,,,,,,
2020-02-02 00:00:00,,,,,15,0,0,,,,,,,
2020-02-03 00:00:00,,,,,15,0,0,,,,,,,
2020-02-04 00:00:00,,,,,17,1,0,,,,,,,
2020-02-05 00:00:00,,,,,21,1,0,,,,,,,
2020-02-06 00:00:00,,,,,24,1,0,,,,,,,
2020-02-07 00:00:00,,,,,25,1,0,,,,,,,
2020-02-08 00:00:00,,,,,26,1,0,,,,,,,
2020-02-09 00:00:00,,,,,29,1,0,,,,,,,
2020-02-10 00:00:00,,,,,38,1,0,,,,,,,
2020-02-11 00:00:00,,,,,49,1,0,,,,,,,
2020-02-12 00:00:00,,,,,50,1,1,,,,,,,
2020-02-13 00:00:00,,,,,53,1,1,,,,,,,
2020-02-14 00:00:00,,,,,56,1,1,,,,,,,
2020-02-15 00:00:00,,,,,56,1,1,,,,,,,
2020-02-16 00:00:00,,,,,57,1,2,,,,,,,
2020-02-17 00:00:00,,,,,60,1,2,,,,,,,
2020-02-18 00:00:00,,,,,62,1,2,,,,,,,
2020-02-19 00:00:00,,,,,63,2,5,,,,,,,
2020-02-20 00:00:00,,,,,68,2,6,,,,,,,
2020-02-21 00:00:00,,,,,68,2,5,,,,,,,
2020-02-22 00:00:00,,,,,69,2,6,,,,,,,
2020-02-23 00:00:00,,,,,74,2,11,,,,,,,
2020-02-24 00:00:00,,,,,79,2,19,,,,,,,
2020-02-25 00:00:00,,,,,84,2,19,,,,,,,
2020-02-26 00:00:00,,,,,91,2,24,,,,,,,
2020-02-27 00:00:00,,,,,92,2,24,,,,,,,
2020-02-28 00:00:00,,,,,94,2,30,,,,,,,
2020-02-29 00:00:00,,,,,95,2,33,,,,,,,
2020-03-01 00:00:00,,,,,96,2,36,,,,,,,
2020-03-02 00:00:00,,,,,100,2,36,,,,,,,
2020-03-03 00:00:00,,,,,100,2,37,,,,,,,
2020-03-04 00:00:00,,,,,105,2,37,,,,,,,
2020-03-05 00:00:00,,,,,105,2,43,,,,,,,
2020-03-06 00:00:00,,,,,107,2,46,,,,,,,
2020-03-07 00:00:00,,,,,108,2,51,,,,,,,
2020-03-08 00:00:00,,,,,114,3,58,,,,,,,
2020-03-09 00:00:00,,,,,115,3,59,,,,,,,
2020-03-10 00:00:00,,,,,120,3,65,,,,,,,
