,BOP_confirmed,BOP_deaths,BOP_hospitalized,BOP_recovered,JHU_confirmed,JHU_deaths,JHU_recovered,NIHFogarty_confirmed,NIHFogarty_deaths,NIHFogarty_hospitalized,Tencent_confirmed,Tencent_deaths,Tencent_recovered,Tencent_suspected
2020-01-22,,,,,0,0,0,2.0,0.0,2.0,,,,
2020-01-23,,,,,2,0,0,,,,,,,
2020-01-24,,,,,2,0,0,5.0,0.0,5.0,,,,
2020-01-25,,,,,5,0,0,,,,,,,
2020-01-26,,,,,8,0,0,,,,,,,
2020-01-27,,,,,8,0,0,8.0,0.0,8.0,,,,
2020-01-28,,,,,8,0,0,,,,,,,
2020-01-29,,,,,10,0,0,10.0,0.0,10.0,,,,
2020-01-30,,,,,10,0,0,12.0,0.0,12.0,,,,
2020-01-31,,,,,12,0,0,13.0,0.0,13.0,,,,
2020-02-01,,,,,13,0,0,,,,,,,
2020-02-02,,,,,15,0,0,15.0,0.0,15.0,,,,
2020-02-03,,,,,15,0,0,,,,,,,
2020-02-04,,,,,17,1,0,18.0,0.0,18.0,17.0,1.0,0.0,0.0
2020-02-05,,,,,21,1,0,21.0,0.0,21.0,21.0,1.0,0.0,0.0
2020-02-06,,,,,24,1,0,24.0,0.0,24.0,24.0,1.0,0.0,0.0
2020-02-07,,,,,25,1,0,26.0,0.0,26.0,25.0,1.0,0.0,0.0
2020-02-08,,,,,26,1,0,,,,,,,
2020-02-09,,,,,29,1,0,36.0,0.0,28.0,,,,
2020-02-10,,,,,38,1,0,42.0,0.0,34.0,38.0,1.0,0.0,0.0
2020-02-11,,,,,49,1,0,49.0,0.0,41.0,49.0,1.0,0.0,0.0
2020-02-12,,,,,50,1,1,50.0,0.0,42.0,,,,
2020-02-13,,,,,53,1,1,53.0,0.0,45.0,53.0,1.0,1.0,0.0
2020-02-14,,,,,56,1,1,56.0,0.0,46.0,56.0,1.0,1.0,0.0
2020-02-15,,,,,56,1,1,,,,56.0,1.0,1.0,0.0
2020-02-16,,,,,57,1,2,57.0,0.0,47.0,57.0,1.0,2.0,0.0
2020-02-17,,,,,60,1,2,60.0,0.0,50.0,60.0,1.0,2.0,0.0
2020-02-18,,,,,62,1,2,62.0,0.0,50.0,62.0,1.0,2.0,0.0
2020-02-19,,,,,63,2,5,66.0,0.0,52.0,65.0,2.0,6.0,0.0
2020-02-20,,,,,68,2,6,70.0,0.0,56.0,68.0,2.0,5.0,0.0
2020-02-21,,,,,68,2,5,,,,68.0,2.0,5.0,0.0
2020-02-22,1.0,0.0,1.0,0.0,69,2,6,,,,69.0,2.0,11.0,0.0
