,BOP_confirmed,BOP_deaths,BOP_hospitalized,BOP_recovered,JHU_confirmed,JHU_deaths,JHU_recovered,NIHFogarty_confirmed,NIHFogarty_deaths,NIHFogarty_hospitalized,Tencent_confirmed,Tencent_deaths,Tencent_recovered,Tencent_suspected
2020-01-22 00:00:00,,,,,0,0,0,,,,,,,
2020-01-23 00:00:00,,,,,0,0,0,,,,,,,
2020-01-24 00:00:00,,,,,0,0,0,,,,,,,
2020-01-25 00:00:00,,,,,0,0,0,,,,,,,
2020-01-26 00:00:00,,,,,0,0,0,,,,,,,
2020-01-27 00:00:00,,,,,0,0,0,,,,,,,
2020-01-28 00:00:00,,,,,0,0,0,,,,,,,
2020-01-29 00:00:00,,,,,0,0,0,,,,,,,
2020-01-30 00:00:00,,,,,0,0,0,,,,,,,
2020-01-31 00:00:00,,,,,0,0,0,,,,,,,
2020-02-01 00:00:00,,,,,0,0,0,,,,,,,
2020-02-02 00:00:00,,,,,0,0,0,,,,,,,
2020-02-03 00:00:00,,,,,0,0,0,,,,,,,
2020-02-04 00:00:00,,,,,0,0,0,,,,,,,
2020-02-05 00:00:00,,,,,0,0,0,,,,,,,
2020-02-06 00:00:00,,,,,0,0,0,,,,,,,
2020-02-07 00:00:00,,,,,0,0,0,,,,,,,
2020-02-08 00:00:00,,,,,0,0,0,,,,,,,
2020-02-09 00:00:00,,,,,0,0,0,,,,,,,
2020-02-10 00:00:00,,,,,0,0,0,,,,,,,
2020-02-11 00:00:00,,,,,0,0,0,,,,,,,
2020-02-12 00:00:00,,,,,0,0,0,,,,,,,
2020-02-13 00:00:00,,,,,0,0,0,,,,,,,
2020-02-14 00:00:00,,,,,0,0,0,,,,,,,
2020-02-15 00:00:00,,,,,0,0,0,,,,,,,
2020-02-16 00:00:00,,,,,0,0,0,,,,,,,
2020-02-17 00:00:00,,,,,0,0,0,,,,,,,
2020-02-18 00:00:00,,,,,0,0,0,,,,,,,
2020-02-19 00:00:00,,,,,2,2,0,,,,,,,
2020-02-20 00:00:00,,,,,5,2,0,,,,,,,
2020-02-21 00:00:00,,,,,18,4,0,,,,,,,
2020-02-22 00:00:00,,,,,28,5,0,,,,,,,
2020-02-23 00:00:00,,,,,43,8,0,,,,,,,
2020-02-24 00:00:00,,,,,61,12,0,,,,,,,
2020-02-25 00:00:00,,,,,95,16,0,,,,,,,
2020-02-26 00:00:00,,,,,139,19,49,,,,,,,
2020-02-27 00:00:00,,,,,245,26,49,,,,,,,
2020-02-28 00:00:00,,,,,388,34,73,,,,,,,
2020-02-29 00:00:00,,,,,593,43,123,,,,,,,
2020-03-01 00:00:00,,,,,978,54,175,,,,,,,
2020-03-02 00:00:00,,,,,1501,66,291,,,,,,,
2020-03-03 00:00:00,,,,,2336,77,291,,,,,,,
2020-03-04 00:00:00,,,,,2922,92,552,,,,,,,
2020-03-05 00:00:00,,,,,3513,107,739,,,,,,,
2020-03-06 00:00:00,,,,,4747,124,913,,,,,,,
2020-03-07 00:00:00,,,,,5823,145,1669,,,,,,,
2020-03-08 00:00:00,,,,,6566,194,2134,,,,,,,
2020-03-09 00:00:00,,,,,7161,237,2394,,,,,,,
2020-03-10 00:00:00,,,,,8042,291,2731,,,,,,,
