,BOP_confirmed,BOP_deaths,BOP_hospitalized,BOP_recovered,JHU_confirmed,JHU_deaths,JHU_recovered,NIHFogarty_confirmed,NIHFogarty_deaths,NIHFogarty_hospitalized,Tencent_confirmed,Tencent_deaths,Tencent_recovered,Tencent_suspected
2020-01-22,,,,,0.0,0.0,0.0,,,,,,,
2020-01-23,,,,,0.0,0.0,0.0,,,,,,,
2020-01-24,,,,,0.0,0.0,0.0,,,,,,,
2020-01-25,,,,,0.0,0.0,0.0,,,,,,,
2020-01-26,,,,,0.0,0.0,0.0,,,,,,,
2020-01-27,,,,,0.0,0.0,0.0,,,,,,,
2020-01-28,,,,,0.0,0.0,0.0,,,,,,,
2020-01-29,,,,,0.0,0.0,0.0,,,,,,,
2020-01-30,,,,,0.0,0.0,0.0,,,,,,,
2020-01-31,,,,,0.0,0.0,0.0,,,,,,,
2020-02-01,,,,,0.0,0.0,0.0,,,,,,,
2020-02-02,,,,,0.0,0.0,0.0,,,,,,,
2020-02-03,,,,,0.0,0.0,0.0,,,,,,,
2020-02-04,,,,,0.0,0.0,0.0,,,,,,,
2020-02-05,,,,,0.0,0.0,0.0,,,,,,,
2020-02-06,,,,,0.0,0.0,0.0,,,,,,,
2020-02-07,,,,,0.0,0.0,0.0,,,,,,,
2020-02-08,,,,,0.0,0.0,0.0,,,,,,,
2020-02-09,,,,,0.0,0.0,0.0,,,,,,,
2020-02-10,,,,,0.0,0.0,0.0,,,,,,,
2020-02-11,,,,,0.0,0.0,0.0,,,,,,,
2020-02-12,,,,,0.0,0.0,0.0,,,,,,,
2020-02-13,,,,,0.0,0.0,0.0,,,,,,,
2020-02-14,,,,,0.0,0.0,0.0,,,,,,,
2020-02-15,,,,,0.0,0.0,0.0,,,,,,,
2020-02-16,,,,,0.0,0.0,0.0,,,,,,,
2020-02-17,,,,,0.0,0.0,0.0,,,,,,,
2020-02-18,,,,,0.0,0.0,0.0,,,,,,,
2020-02-19,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,,,,
2020-02-20,5.0,0.0,0.0,0.0,5.0,2.0,0.0,5.0,0.0,0.0,5.0,2.0,0.0,0.0
2020-02-21,18.0,0.0,0.0,0.0,18.0,4.0,0.0,18.0,0.0,0.0,18.0,4.0,0.0,0.0
2020-02-22,28.0,0.0,0.0,0.0,28.0,5.0,0.0,,,,28.0,6.0,0.0,0.0
2020-02-23,,,,,43.0,8.0,0.0,,,,43.0,8.0,0.0,0.0
2020-02-24,,,,,61.0,12.0,0.0,,,,61.0,12.0,0.0,0.0
2020-02-25,,,,,95.0,16.0,0.0,,,,95.0,16.0,0.0,0.0
2020-02-26,,,,,139.0,19.0,49.0,,,,139.0,19.0,0.0,0.0
2020-02-27,,,,,245.0,26.0,49.0,,,,270.0,26.0,49.0,0.0
2020-02-28,,,,,388.0,34.0,73.0,,,,270.0,26.0,49.0,0.0
2020-02-29,,,,,,,,,,,270.0,26.0,49.0,0.0
