,BOP_confirmed,BOP_deaths,BOP_hospitalized,BOP_recovered,JHU_confirmed,JHU_deaths,JHU_recovered,NIHFogarty_confirmed,NIHFogarty_deaths,NIHFogarty_hospitalized,Tencent_confirmed,Tencent_deaths,Tencent_recovered,Tencent_suspected
2020-01-22,,,,,0,0,0,,,,,,,
2020-01-23,,,,,0,0,0,,,,,,,
2020-01-24,,,,,0,0,0,,,,,,,
2020-01-25,,,,,0,0,0,,,,,,,
2020-01-26,,,,,0,0,0,,,,,,,
2020-01-27,,,,,0,0,0,,,,,,,
2020-01-28,,,,,0,0,0,,,,,,,
2020-01-29,,,,,0,0,0,,,,,,,
2020-01-30,,,,,0,0,0,,,,,,,
2020-01-31,2.0,0.0,2.0,0.0,2,0,0,2.0,0.0,0.0,,,,
2020-02-01,,,,,2,0,0,,,,,,,
2020-02-02,,,,,2,0,0,,,,,,,
2020-02-03,,,,,2,0,0,,,,,,,
2020-02-04,,,,,2,0,0,,,,2.0,0.0,0.0,0.0
2020-02-05,,,,,2,0,0,,,,2.0,0.0,0.0,0.0
2020-02-06,3.0,0.0,2.0,0.0,2,0,0,3.0,0.0,0.0,,,,
2020-02-07,,,,,3,0,0,,,,,,,
2020-02-08,,,,,3,0,0,,,,,,,
2020-02-09,,,,,3,0,0,,,,,,,
2020-02-10,,,,,3,0,0,,,,3.0,0.0,0.0,0.0
2020-02-11,,,,,3,0,0,,,,,,,
2020-02-12,,,,,3,0,0,,,,,,,
2020-02-13,,,,,3,0,0,,,,,,,
2020-02-14,,,,,3,0,0,,,,,,,
2020-02-15,,,,,3,0,0,,,,,,,
2020-02-16,,,,,3,0,0,,,,,,,
2020-02-17,,,,,3,0,0,,,,,,,
2020-02-18,,,,,3,0,0,,,,,,,
2020-02-19,,,,,3,0,0,,,,,,,
2020-02-20,,,,,3,0,0,9.0,0.0,1.0,,,,
2020-02-21,20.0,0.0,3.0,0.0,20,1,0,20.0,0.0,1.0,6.0,0.0,0.0,0.0
2020-02-22,64.0,0.0,3.0,0.0,62,2,1,79.0,0.0,1.0,79.0,2.0,0.0,0.0
2020-02-23,,,,,155,3,2,86.0,0.0,1.0,157.0,3.0,2.0,0.0
2020-02-24,166.0,0.0,3.0,0.0,229,7,1,,,,229.0,7.0,1.0,0.0
2020-02-25,260.0,0.0,3.0,0.0,322,10,1,,,,322.0,11.0,1.0,0.0
2020-02-26,339.0,0.0,3.0,0.0,453,12,3,,,,374.0,12.0,1.0,0.0
2020-02-27,588.0,0.0,3.0,0.0,655,17,45,,,,650.0,17.0,45.0,0.0
2020-02-28,,,,,888,21,46,,,,653.0,17.0,45.0,0.0
2020-02-29,,,,,1128,29,46,,,,653.0,17.0,45.0,0.0
2020-03-01,,,,,1694,34,83,,,,653.0,17.0,45.0,0.0
2020-03-02,,,,,2036,52,149,,,,653.0,17.0,45.0,0.0
2020-03-03,,,,,2502,79,160,,,,653.0,17.0,45.0,0.0
2020-03-04,,,,,3089,107,276,,,,653.0,17.0,45.0,0.0
2020-03-05,,,,,3858,148,414,,,,653.0,17.0,45.0,0.0
2020-03-06,,,,,4636,197,523,,,,653.0,17.0,45.0,0.0
2020-03-07,,,,,5883,233,589,,,,653.0,17.0,45.0,0.0
2020-03-08,,,,,7375,366,622,,,,653.0,17.0,45.0,0.0
2020-03-09,,,,,9172,463,724,,,,653.0,17.0,45.0,0.0
2020-03-10,,,,,10149,631,724,,,,653.0,17.0,45.0,0.0
2020-03-11,,,,,12462,827,1045,,,,653.0,17.0,45.0,0.0
2020-03-12,,,,,12462,827,1045,,,,653.0,17.0,45.0,0.0
2020-03-13,,,,,17660,1266,1439,,,,653.0,17.0,45.0,0.0
2020-03-14,,,,,21157,1441,1966,,,,653.0,17.0,45.0,0.0
2020-03-15,,,,,24747,1809,2335,,,,653.0,17.0,45.0,0.0
2020-03-16,,,,,27980,2158,2749,,,,,,,
2020-03-17,,,,,31506,2503,2941,,,,653.0,17.0,45.0,0.0
2020-03-18,,,,,35713,2978,4025,,,,,,,
2020-03-19,,,,,41035,3405,4440,,,,,,,
2020-03-20,,,,,47021,4032,4440,,,,653.0,17.0,45.0,0.0
