,BOP_confirmed,BOP_deaths,BOP_hospitalized,BOP_recovered,JHU_confirmed,JHU_deaths,JHU_recovered,NIHFogarty_confirmed,NIHFogarty_deaths,NIHFogarty_hospitalized,Tencent_confirmed,Tencent_deaths,Tencent_recovered,Tencent_suspected
2020-01-15,1.0,0.0,1.0,1.0,,,,1.0,0.0,1.0,,,,
2020-01-16,2.0,0.0,2.0,1.0,,,,,,,,,,
2020-01-22,,,,,2.0,0.0,0.0,,,,,,,
2020-01-23,,,,,1.0,0.0,0.0,,,,,,,
2020-01-24,3.0,0.0,3.0,1.0,2.0,0.0,0.0,2.0,0.0,2.0,,,,
2020-01-25,4.0,0.0,4.0,1.0,2.0,0.0,0.0,3.0,0.0,3.0,,,,
2020-01-26,5.0,0.0,5.0,1.0,4.0,0.0,1.0,4.0,0.0,4.0,,,,
2020-01-27,,,,,4.0,0.0,1.0,,,,,,,
2020-01-28,7.0,0.0,7.0,1.0,7.0,0.0,1.0,7.0,0.0,7.0,,,,
2020-01-29,9.0,0.0,8.0,1.0,7.0,0.0,1.0,8.0,0.0,8.0,,,,
2020-01-30,14.0,0.0,12.0,1.0,11.0,0.0,1.0,12.0,0.0,11.0,,,,
2020-01-31,17.0,0.0,13.0,1.0,15.0,0.0,1.0,13.0,0.0,12.0,,,,
2020-02-01,21.0,0.0,13.0,1.0,20.0,0.0,1.0,16.0,0.0,13.0,,,,
2020-02-02,,,,,20.0,0.0,1.0,,,,,,,
2020-02-03,,,,,20.0,0.0,1.0,,,,,,,
2020-02-04,34.0,0.0,15.0,1.0,22.0,0.0,1.0,19.0,0.0,16.0,22.0,0.0,1.0,0.0
2020-02-05,46.0,0.0,17.0,1.0,22.0,0.0,1.0,22.0,0.0,18.0,35.0,0.0,1.0,0.0
2020-02-06,,,,,45.0,0.0,1.0,,,,45.0,0.0,1.0,0.0
2020-02-07,87.0,0.0,17.0,1.0,25.0,0.0,1.0,,,,86.0,0.0,1.0,0.0
2020-02-08,91.0,0.0,17.0,1.0,25.0,0.0,1.0,23.0,0.0,18.0,,,,
2020-02-09,97.0,0.0,17.0,1.0,26.0,0.0,1.0,,,,,,,
2020-02-10,164.0,0.0,19.0,1.0,26.0,0.0,4.0,26.0,0.0,20.0,156.0,0.0,1.0,0.0
2020-02-11,165.0,0.0,19.0,1.0,26.0,0.0,9.0,,,,161.0,0.0,1.0,0.0
2020-02-12,205.0,0.0,19.0,1.0,28.0,0.0,9.0,,,,,,,
2020-02-13,253.0,0.0,23.0,1.0,28.0,1.0,9.0,30.0,0.0,24.0,251.0,1.0,1.0,0.0
2020-02-14,261.0,0.0,26.0,1.0,29.0,1.0,9.0,37.0,0.0,30.0,253.0,1.0,1.0,0.0
2020-02-15,340.0,0.0,30.0,1.0,43.0,1.0,12.0,43.0,0.0,32.0,334.0,1.0,1.0,0.0
2020-02-16,431.0,0.0,31.0,1.0,59.0,1.0,12.0,47.0,0.0,35.0,411.0,1.0,1.0,0.0
2020-02-17,518.0,0.0,32.0,1.0,66.0,1.0,12.0,53.0,0.0,41.0,519.0,1.0,1.0,0.0
2020-02-18,615.0,0.0,35.0,1.0,74.0,1.0,13.0,59.0,0.0,43.0,616.0,1.0,1.0,0.0
2020-02-19,,,,,84.0,1.0,18.0,70.0,0.0,48.0,616.0,1.0,1.0,0.0
2020-02-20,,,,,94.0,1.0,18.0,79.0,0.0,52.0,729.0,3.0,1.0,0.0
2020-02-21,630.0,0.0,45.0,1.0,105.0,1.0,22.0,91.0,0.0,60.0,,,,
2020-02-22,655.0,0.0,53.0,1.0,122.0,1.0,22.0,113.0,0.0,81.0,,,,
2020-02-23,667.0,0.0,53.0,1.0,147.0,1.0,22.0,127.0,0.0,85.0,,,,
2020-02-24,,,,,159.0,1.0,22.0,139.0,0.0,92.0,,,,
2020-02-25,668.0,0.0,53.0,1.0,170.0,1.0,22.0,147.0,0.0,99.0,,,,
2020-02-26,690.0,0.0,58.0,1.0,189.0,2.0,22.0,167.0,0.0,114.0,,,,
2020-02-27,716.0,0.0,60.0,1.0,214.0,4.0,22.0,190.0,0.0,135.0,,,,
2020-02-28,732.0,0.0,62.0,1.0,228.0,4.0,22.0,208.0,0.0,150.0,,,,
2020-02-29,,,,,241.0,5.0,32.0,217.0,0.0,158.0,,,,
2020-03-01,,,,,256.0,6.0,32.0,232.0,0.0,171.0,,,,
2020-03-02,753.0,0.0,62.0,1.0,274.0,6.0,32.0,241.0,0.0,180.0,,,,
2020-03-03,755.0,0.0,62.0,1.0,293.0,6.0,43.0,257.0,0.0,192.0,,,,
2020-03-04,769.0,0.0,63.0,1.0,331.0,6.0,43.0,,,,,,,
2020-03-05,,,,,360.0,6.0,43.0,,,,,,,
2020-03-06,,,,,420.0,6.0,46.0,,,,,,,
2020-03-07,,,,,461.0,6.0,76.0,,,,,,,
2020-03-08,,,,,502.0,6.0,76.0,,,,,,,
2020-03-09,,,,,511.0,10.0,76.0,,,,,,,
2020-03-10,,,,,581.0,10.0,101.0,,,,,,,
2020-03-11,,,,,639.0,15.0,118.0,,,,,,,
