,BOP_confirmed,BOP_deaths,BOP_hospitalized,BOP_recovered,JHU_confirmed,JHU_deaths,JHU_recovered,NIHFogarty_confirmed,NIHFogarty_deaths,NIHFogarty_hospitalized,Tencent_confirmed,Tencent_deaths,Tencent_recovered,Tencent_suspected
2020-01-22 00:00:00,,,,,1,0,0,,,,,,,
2020-01-23 00:00:00,,,,,1,0,0,,,,,,,
2020-01-24 00:00:00,,,,,2,0,0,,,,,,,
2020-01-25 00:00:00,,,,,2,0,0,,,,,,,
2020-01-26 00:00:00,,,,,3,0,0,,,,,,,
2020-01-27 00:00:00,,,,,4,0,0,,,,,,,
2020-01-28 00:00:00,,,,,4,0,0,,,,,,,
2020-01-29 00:00:00,,,,,4,0,0,,,,,,,
2020-01-30 00:00:00,,,,,4,0,0,,,,,,,
2020-01-31 00:00:00,,,,,11,0,0,,,,,,,
2020-02-01 00:00:00,,,,,12,0,0,,,,,,,
2020-02-02 00:00:00,,,,,15,0,0,,,,,,,
2020-02-03 00:00:00,,,,,15,0,0,,,,,,,
2020-02-04 00:00:00,,,,,16,0,0,,,,,,,
2020-02-05 00:00:00,,,,,19,0,0,,,,,,,
2020-02-06 00:00:00,,,,,23,0,0,,,,,,,
2020-02-07 00:00:00,,,,,24,0,1,,,,,,,
2020-02-08 00:00:00,,,,,24,0,1,,,,,,,
2020-02-09 00:00:00,,,,,25,0,3,,,,,,,
2020-02-10 00:00:00,,,,,27,0,3,,,,,,,
2020-02-11 00:00:00,,,,,28,0,3,,,,,,,
2020-02-12 00:00:00,,,,,28,0,7,,,,,,,
2020-02-13 00:00:00,,,,,28,0,7,,,,,,,
2020-02-14 00:00:00,,,,,28,0,7,,,,,,,
2020-02-15 00:00:00,,,,,28,0,9,,,,,,,
2020-02-16 00:00:00,,,,,29,0,9,,,,,,,
2020-02-17 00:00:00,,,,,30,0,10,,,,,,,
2020-02-18 00:00:00,,,,,31,0,12,,,,,,,
2020-02-19 00:00:00,,,,,31,0,12,,,,,,,
2020-02-20 00:00:00,,,,,104,1,16,,,,,,,
2020-02-21 00:00:00,,,,,204,2,16,,,,,,,
2020-02-22 00:00:00,,,,,433,2,16,,,,,,,
2020-02-23 00:00:00,,,,,602,6,18,,,,,,,
2020-02-24 00:00:00,,,,,833,8,18,,,,,,,
2020-02-25 00:00:00,,,,,977,10,22,,,,,,,
2020-02-26 00:00:00,,,,,1261,12,22,,,,,,,
2020-02-27 00:00:00,,,,,1766,13,22,,,,,,,
2020-02-28 00:00:00,,,,,2337,13,22,,,,,,,
2020-02-29 00:00:00,,,,,3150,16,27,,,,,,,
2020-03-01 00:00:00,,,,,3736,17,30,,,,,,,
2020-03-02 00:00:00,,,,,4335,28,30,,,,,,,
2020-03-03 00:00:00,,,,,5186,28,30,,,,,,,
2020-03-04 00:00:00,,,,,5621,35,41,,,,,,,
2020-03-05 00:00:00,,,,,6088,35,41,,,,,,,
2020-03-06 00:00:00,,,,,6593,42,135,,,,,,,
2020-03-07 00:00:00,,,,,7041,44,135,,,,,,,
2020-03-08 00:00:00,,,,,7314,50,118,,,,,,,
2020-03-09 00:00:00,,,,,7478,53,118,,,,,,,
2020-03-10 00:00:00,,,,,7513,54,247,,,,,,,
2020-03-11 00:00:00,,,,,7755,60,288,,,,,,,
2020-03-12 00:00:00,,,,,7869,66,333,,,,,,,
2020-03-13 00:00:00,,,,,7979,66,510,,,,,,,
2020-03-14 00:00:00,,,,,8086,72,510,,,,,,,
2020-03-15 00:00:00,,,,,8162,75,510,,,,,,,
2020-03-16 00:00:00,,,,,8236,75,1137,,,,,,,
2020-03-17 00:00:00,,,,,8320,81,1407,,,,,,,
2020-03-18 00:00:00,,,,,8413,84,1540,,,,,,,
2020-03-19 00:00:00,,,,,8565,91,1540,,,,,,,
2020-03-20 00:00:00,,,,,8652,94,1540,,,,,,,
