,BOP_confirmed,BOP_deaths,BOP_hospitalized,BOP_recovered,JHU_confirmed,JHU_deaths,JHU_recovered,NIHFogarty_confirmed,NIHFogarty_deaths,NIHFogarty_hospitalized,Tencent_confirmed,Tencent_deaths,Tencent_recovered,Tencent_suspected
2020-01-22,,,,,0.0,0.0,0.0,,,,,,,
2020-01-23,,,,,0.0,0.0,0.0,,,,,,,
2020-01-24,,,,,0.0,0.0,0.0,1.0,0.0,1.0,,,,
2020-01-25,4.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,1.0,,,,
2020-01-26,,,,,4.0,0.0,0.0,,,,,,,
2020-01-27,,,,,4.0,0.0,0.0,,,,,,,
2020-01-28,,,,,4.0,0.0,0.0,,,,,,,
2020-01-29,7.0,0.0,0.0,0.0,7.0,0.0,0.0,7.0,0.0,2.0,,,,
2020-01-30,8.0,0.0,0.0,0.0,8.0,0.0,0.0,8.0,0.0,2.0,,,,
2020-01-31,,,,,8.0,0.0,0.0,,,,,,,
2020-02-01,,,,,8.0,0.0,0.0,,,,,,,
2020-02-02,,,,,8.0,0.0,0.0,,,,,,,
2020-02-03,10.0,0.0,1.0,0.0,8.0,0.0,0.0,,,,,,,
2020-02-04,,,,,10.0,0.0,0.0,10.0,0.0,3.0,22.0,0.0,15.0,0.0
2020-02-05,12.0,0.0,1.0,0.0,12.0,0.0,0.0,12.0,0.0,3.0,12.0,0.0,1.0,0.0
2020-02-06,,,,,12.0,0.0,0.0,14.0,0.0,4.0,0.0,0.0,0.0,0.0
2020-02-07,,,,,12.0,0.0,1.0,15.0,0.0,4.0,0.0,0.0,0.0,0.0
2020-02-08,,,,,16.0,0.0,1.0,16.0,0.0,4.0,,,,
2020-02-09,,,,,16.0,0.0,1.0,17.0,0.0,4.0,,,,
2020-02-10,,,,,18.0,0.0,1.0,18.0,0.0,4.0,15.0,0.0,1.0,0.0
2020-02-11,,,,,18.0,0.0,3.0,,,,14.0,0.0,1.0,0.0
2020-02-12,,,,,18.0,0.0,3.0,,,,,,,
2020-02-13,,,,,19.0,0.0,3.0,19.0,0.0,4.0,22.0,0.0,15.0,0.0
2020-02-14,,,,,19.0,0.0,3.0,,,,18.0,0.0,3.0,0.0
2020-02-15,,,,,22.0,0.0,7.0,,,,18.0,0.0,3.0,0.0
2020-02-16,,,,,22.0,0.0,7.0,22.0,0.0,5.0,0.0,0.0,0.0,0.0
2020-02-17,,,,,22.0,0.0,7.0,,,,0.0,0.0,0.0,0.0
2020-02-18,,,,,22.0,0.0,13.0,,,,19.0,0.0,3.0,0.0
2020-02-19,,,,,22.0,0.0,15.0,,,,22.0,0.0,15.0,0.0
2020-02-20,,,,,22.0,0.0,15.0,,,,19.0,0.0,3.0,0.0
2020-02-21,,,,,,,,,,,21.0,0.0,3.0,0.0
