,BOP_confirmed,BOP_deaths,BOP_hospitalized,BOP_recovered,JHU_confirmed,JHU_deaths,JHU_recovered,NIHFogarty_confirmed,NIHFogarty_deaths,NIHFogarty_hospitalized,Tencent_confirmed,Tencent_deaths,Tencent_recovered,Tencent_suspected
2020-01-22,,,,,0,0,0,,,,,,,
2020-01-23,,,,,0,0,0,,,,,,,
2020-01-24,,,,,0,0,0,,,,,,,
2020-01-25,,,,,0,0,0,,,,,,,
2020-01-26,,,,,0,0,0,,,,,,,
2020-01-27,,,,,0,0,0,,,,,,,
2020-01-28,,,,,0,0,0,,,,,,,
2020-01-29,,,,,0,0,0,,,,,,,
2020-01-30,1.0,0.0,0.0,1.0,1,0,0,,,,,,,
2020-01-31,,,,,1,0,0,,,,,,,
2020-02-01,2.0,1.0,0.0,1.0,1,0,0,,,,,,,
2020-02-02,,,,,2,1,0,2.0,0.0,1.0,,,,
2020-02-03,,,,,2,1,0,,,,,,,
2020-02-04,,,,,2,1,0,,,,2.0,1.0,0.0,0.0
2020-02-05,3.0,1.0,0.0,2.0,2,1,0,3.0,0.0,1.0,3.0,1.0,0.0,0.0
2020-02-06,,,,,2,1,0,,,,3.0,1.0,0.0,0.0
2020-02-07,,,,,3,1,0,,,,3.0,1.0,0.0,0.0
2020-02-08,,,,,3,1,0,,,,,,,
2020-02-09,,,,,3,1,0,,,,,,,
2020-02-10,,,,,3,1,0,,,,3.0,1.0,0.0,0.0
2020-02-11,,,,,3,1,0,,,,3.0,1.0,0.0,0.0
2020-02-12,,,,,3,1,1,,,,,,,
2020-02-13,,,,,3,1,1,,,,3.0,1.0,0.0,0.0
2020-02-14,,,,,3,1,1,,,,3.0,1.0,0.0,0.0
2020-02-15,,,,,3,1,1,,,,,,,
2020-02-16,,,,,3,1,1,,,,3.0,1.0,0.0,0.0
2020-02-17,,,,,3,1,1,,,,3.0,1.0,0.0,0.0
2020-02-18,,,,,3,1,1,,,,3.0,1.0,1.0,0.0
2020-02-19,,,,,3,1,1,,,,3.0,1.0,1.0,0.0
2020-02-20,,,,,3,1,1,,,,3.0,1.0,1.0,0.0
2020-02-21,,,,,3,1,1,,,,3.0,1.0,1.0,0.0
2020-02-22,,,,,3,1,1,,,,3.0,1.0,1.0,0.0
2020-02-23,,,,,3,1,1,,,,3.0,1.0,1.0,0.0
2020-02-24,,,,,3,1,1,,,,3.0,1.0,1.0,0.0
2020-02-25,,,,,3,1,1,,,,3.0,1.0,1.0,0.0
2020-02-26,,,,,3,1,1,,,,3.0,1.0,1.0,0.0
2020-02-27,,,,,3,1,1,,,,3.0,1.0,1.0,0.0
2020-02-28,,,,,3,1,1,,,,3.0,1.0,1.0,0.0
2020-02-29,,,,,3,1,1,,,,3.0,1.0,1.0,0.0
2020-03-01,,,,,3,1,1,,,,3.0,1.0,1.0,0.0
2020-03-02,,,,,3,1,1,,,,3.0,1.0,1.0,0.0
2020-03-03,,,,,3,1,1,,,,3.0,1.0,1.0,0.0
2020-03-04,,,,,3,1,1,,,,3.0,1.0,1.0,0.0
2020-03-05,5.0,1.0,0.0,2.0,3,1,1,,,,3.0,1.0,1.0,0.0
2020-03-06,,,,,5,1,1,,,,3.0,1.0,1.0,0.0
2020-03-07,6.0,1.0,1.0,2.0,6,1,1,,,,3.0,1.0,1.0,0.0
2020-03-08,,,,,10,1,1,,,,3.0,1.0,1.0,0.0
2020-03-09,,,,,20,1,1,,,,3.0,1.0,1.0,0.0
2020-03-10,,,,,33,1,2,,,,3.0,1.0,1.0,0.0
2020-03-11,,,,,49,1,2,,,,3.0,1.0,1.0,0.0
2020-03-12,,,,,52,2,2,,,,3.0,1.0,1.0,0.0
2020-03-13,,,,,64,5,2,,,,3.0,1.0,1.0,0.0
2020-03-14,,,,,111,8,2,,,,3.0,1.0,1.0,0.0
2020-03-15,,,,,140,11,2,,,,3.0,1.0,1.0,0.0
2020-03-16,,,,,142,12,2,,,,,,,
2020-03-17,,,,,187,12,5,,,,3.0,1.0,1.0,0.0
2020-03-18,,,,,202,19,5,,,,,,,
2020-03-19,,,,,217,17,8,,,,,,,
2020-03-20,,,,,230,18,8,,,,3.0,1.0,1.0,0.0
