,BOP_confirmed,BOP_deaths,BOP_hospitalized,BOP_recovered,JHU_confirmed,JHU_deaths,JHU_recovered,NIHFogarty_confirmed,NIHFogarty_deaths,NIHFogarty_hospitalized,Tencent_confirmed,Tencent_deaths,Tencent_recovered,Tencent_suspected
2020-01-22,,,,,0.0,0.0,0.0,,,,,,,
2020-01-23,,,,,0.0,0.0,0.0,,,,,,,
2020-01-24,,,,,0.0,0.0,0.0,,,,,,,
2020-01-25,,,,,0.0,0.0,0.0,,,,,,,
2020-01-26,,,,,0.0,0.0,0.0,,,,,,,
2020-01-27,,,,,0.0,0.0,0.0,,,,,,,
2020-01-28,,,,,0.0,0.0,0.0,,,,,,,
2020-01-29,,,,,0.0,0.0,0.0,,,,,,,
2020-01-30,,,,,0.0,0.0,0.0,,,,,,,
2020-01-31,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,,,,
2020-02-01,,,,,2.0,0.0,0.0,,,,,,,
2020-02-02,,,,,2.0,0.0,0.0,,,,,,,
2020-02-03,,,,,2.0,0.0,0.0,,,,,,,
2020-02-04,,,,,2.0,0.0,0.0,,,,,,,
2020-02-05,,,,,2.0,0.0,0.0,,,,,,,
2020-02-06,,,,,2.0,0.0,0.0,,,,2.0,0.0,0.0,0.0
2020-02-07,,,,,2.0,0.0,0.0,,,,2.0,0.0,0.0,0.0
2020-02-08,,,,,2.0,0.0,0.0,,,,,,,
2020-02-09,,,,,2.0,0.0,0.0,,,,,,,
2020-02-10,,,,,2.0,0.0,0.0,,,,2.0,0.0,0.0,0.0
2020-02-11,,,,,2.0,0.0,0.0,,,,,,,
2020-02-12,,,,,2.0,0.0,2.0,,,,,,,
2020-02-13,,,,,2.0,0.0,2.0,,,,2.0,0.0,0.0,0.0
2020-02-14,,,,,2.0,0.0,2.0,,,,,,,
2020-02-15,,,,,2.0,0.0,2.0,,,,,,,
2020-02-16,,,,,2.0,0.0,2.0,,,,,,,
2020-02-17,,,,,2.0,0.0,2.0,,,,,,,
2020-02-18,,,,,2.0,0.0,2.0,,,,,,,
2020-02-19,,,,,2.0,0.0,2.0,,,,,,,
2020-02-20,,,,,2.0,0.0,2.0,,,,,,,
2020-02-21,,,,,2.0,0.0,2.0,,,,,,,
2020-02-22,,,,,2.0,0.0,2.0,,,,,,,
2020-02-23,,,,,2.0,0.0,2.0,,,,,,,
2020-02-24,,,,,2.0,0.0,2.0,,,,,,,
2020-02-25,,,,,2.0,0.0,2.0,,,,,,,
2020-02-26,,,,,2.0,0.0,2.0,,,,,,,
2020-02-27,,,,,2.0,0.0,2.0,,,,,,,
2020-02-28,,,,,2.0,0.0,2.0,,,,,,,
2020-02-29,,,,,,,,,,,5.0,0.0,2.0,0.0
