,BOP_confirmed,BOP_deaths,BOP_hospitalized,BOP_recovered,JHU_confirmed,JHU_deaths,JHU_recovered,NIHFogarty_confirmed,NIHFogarty_deaths,NIHFogarty_hospitalized,Tencent_confirmed,Tencent_deaths,Tencent_recovered,Tencent_suspected
2020-01-22,,,,,0,0,0,,,,,,,
2020-01-23,1.0,0.0,1.0,0.0,1,0,0,,,,,,,
2020-01-24,3.0,0.0,3.0,0.0,3,0,0,3.0,0.0,2.0,,,,
2020-01-25,4.0,0.0,4.0,0.0,3,0,0,,,,,,,
2020-01-26,,,,,4,0,0,4.0,0.0,3.0,,,,
2020-01-27,7.0,0.0,7.0,0.0,5,0,0,5.0,0.0,4.0,,,,
2020-01-28,8.0,0.0,8.0,0.0,7,0,0,7.0,0.0,6.0,,,,
2020-01-29,12.0,0.0,12.0,0.0,7,0,0,10.0,0.0,9.0,,,,
2020-01-30,14.0,0.0,14.0,0.0,10,0,0,13.0,0.0,10.0,,,,
2020-01-31,17.0,0.0,17.0,0.0,13,0,0,16.0,0.0,13.0,,,,
2020-02-01,18.0,0.0,18.0,0.0,16,0,0,18.0,0.0,14.0,,,,
2020-02-02,,,,,18,0,0,,,,,,,
2020-02-03,26.0,0.0,22.0,0.0,18,0,0,,,,,,,
2020-02-04,32.0,0.0,28.0,1.0,24,0,0,24.0,0.0,17.0,24.0,0.0,1.0,0.0
2020-02-05,35.0,0.0,30.0,1.0,28,0,0,28.0,0.0,19.0,28.0,0.0,1.0,0.0
2020-02-06,39.0,0.0,34.0,1.0,28,0,0,30.0,0.0,21.0,30.0,0.0,1.0,0.0
2020-02-07,43.0,0.0,38.0,1.0,30,0,0,33.0,0.0,24.0,33.0,0.0,2.0,0.0
2020-02-08,49.0,0.0,44.0,2.0,33,0,2,40.0,0.0,31.0,,,,
2020-02-09,50.0,0.0,45.0,2.0,40,0,2,43.0,0.0,34.0,,,,
2020-02-10,53.0,0.0,47.0,2.0,45,0,2,45.0,0.0,35.0,45.0,0.0,7.0,0.0
2020-02-11,55.0,0.0,49.0,2.0,47,0,9,47.0,0.0,37.0,47.0,0.0,9.0,0.0
2020-02-12,59.0,0.0,53.0,2.0,50,0,15,50.0,0.0,40.0,,,,
2020-02-13,64.0,0.0,53.0,2.0,58,0,15,58.0,0.0,47.0,58.0,0.0,15.0,0.0
2020-02-14,74.0,0.0,59.0,2.0,67,0,17,67.0,0.0,56.0,67.0,0.0,17.0,0.0
2020-02-15,80.0,0.0,64.0,2.0,72,0,18,72.0,0.0,61.0,67.0,0.0,17.0,0.0
2020-02-16,82.0,0.0,64.0,2.0,75,0,18,75.0,0.0,63.0,72.0,0.0,18.0,0.0
2020-02-17,85.0,0.0,66.0,2.0,77,0,24,77.0,0.0,63.0,77.0,0.0,24.0,0.0
2020-02-18,87.0,0.0,66.0,2.0,81,0,29,81.0,0.0,67.0,81.0,0.0,29.0,0.0
2020-02-19,,,,,84,0,34,85.0,0.0,71.0,84.0,0.0,34.0,0.0
2020-02-20,,,,,84,0,34,,,,84.0,0.0,34.0,0.0
2020-02-21,89.0,0.0,67.0,2.0,85,0,37,86.0,0.0,72.0,85.0,0.0,37.0,0.0
2020-02-22,90.0,0.0,67.0,2.0,85,0,37,89.0,0.0,74.0,89.0,0.0,49.0,0.0
2020-02-23,,,,,89,0,51,,,,89.0,0.0,49.0,0.0
2020-02-24,,,,,89,0,51,90.0,0.0,75.0,90.0,0.0,53.0,0.0
