,BOP_confirmed,BOP_deaths,BOP_hospitalized,BOP_recovered,JHU_confirmed,JHU_deaths,JHU_recovered,NIHFogarty_confirmed,NIHFogarty_deaths,NIHFogarty_hospitalized,Tencent_confirmed,Tencent_deaths,Tencent_recovered,Tencent_suspected
2020-01-06,1.0,0.0,0.0,0.0,,,,,,,,,,
2020-01-20,2.0,0.0,1.0,0.0,,,,1.0,0.0,1.0,,,,
2020-01-22,,,,,,,,,,,,,,
2020-01-23,,,,,,,,,,,,,,
2020-01-24,3.0,0.0,2.0,0.0,,,,2.0,0.0,2.0,,,,
2020-01-25,,,,,,,,3.0,0.0,3.0,,,,
2020-01-26,4.0,0.0,3.0,0.0,,,,,,,,,,
2020-01-27,5.0,0.0,4.0,0.0,,,,4.0,0.0,4.0,,,,
2020-01-28,,,,,,,,,,,,,,
2020-01-29,,,,,,,,,,,,,,
2020-01-30,8.0,0.0,7.0,0.0,,,,7.0,0.0,4.0,,,,
2020-01-31,13.0,0.0,12.0,0.0,,,,11.0,0.0,4.0,,,,
2020-02-01,14.0,0.0,13.0,0.0,,,,12.0,0.0,5.0,,,,
2020-02-02,16.0,0.0,15.0,0.0,,,,15.0,0.0,5.0,,,,
2020-02-03,,,,,,,,,,,,,,
2020-02-04,17.0,0.0,16.0,0.0,,,,16.0,0.0,5.0,16.0,0.0,0.0,0.0
2020-02-05,21.0,0.0,19.0,0.0,,,,19.0,0.0,6.0,19.0,0.0,1.0,0.0
2020-02-06,24.0,0.0,21.0,0.0,,,,23.0,0.0,6.0,23.0,0.0,1.0,0.0
2020-02-07,,,,,,,,24.0,0.0,6.0,24.0,0.0,2.0,0.0
2020-02-08,,,,,,,,,,,,,,
2020-02-09,25.0,0.0,21.0,0.0,,,,27.0,0.0,6.0,,,,
2020-02-10,,,,,,,,,,,27.0,0.0,3.0,0.0
2020-02-11,26.0,0.0,21.0,0.0,,,,28.0,0.0,6.0,28.0,0.0,3.0,0.0
2020-02-12,,,,,,,,,,,,,,
2020-02-13,,,,,,,,,,,28.0,0.0,3.0,0.0
2020-02-14,,,,,,,,,,,28.0,0.0,3.0,0.0
2020-02-15,,,,,,,,,,,,,,
2020-02-16,27.0,0.0,21.0,0.0,,,,29.0,0.0,7.0,29.0,0.0,9.0,0.0
2020-02-17,28.0,0.0,21.0,0.0,,,,30.0,0.0,7.0,,,,
2020-02-18,,,,,,,,31.0,0.0,8.0,,,,
2020-02-19,,,,,,,,51.0,0.0,8.0,51.0,0.0,12.0,0.0
2020-02-20,33.0,0.0,21.0,0.0,,,,106.0,0.0,8.0,104.0,1.0,12.0,0.0
2020-02-21,34.0,0.0,21.0,0.0,,,,107.0,0.0,8.0,208.0,2.0,12.0,0.0
2020-02-22,260.0,0.0,22.0,0.0,,,,110.0,0.0,9.0,556.0,4.0,12.0,0.0
2020-02-23,386.0,0.0,25.0,0.0,,,,112.0,0.0,9.0,763.0,7.0,12.0,0.0
2020-02-24,456.0,0.0,25.0,0.0,,,,,,,833.0,8.0,12.0,0.0
2020-02-25,521.0,0.0,25.0,0.0,,,,113.0,0.0,9.0,977.0,11.0,22.0,0.0
2020-02-26,976.0,0.0,26.0,0.0,,,,114.0,0.0,9.0,1261.0,12.0,24.0,0.0
2020-02-27,1491.0,0.0,27.0,0.0,,,,,,,1766.0,13.0,24.0,0.0
2020-02-28,2067.0,0.0,28.0,0.0,,,,,,,1766.0,13.0,24.0,0.0
2020-02-29,2884.0,0.0,28.0,0.0,,,,,,,3150.0,13.0,24.0,0.0
2020-03-01,3486.0,0.0,28.0,0.0,,,,,,,3150.0,13.0,24.0,0.0
2020-03-02,3487.0,0.0,28.0,0.0,,,,,,,3150.0,13.0,24.0,0.0
2020-03-03,3491.0,0.0,28.0,0.0,,,,,,,3150.0,13.0,24.0,0.0
2020-03-04,3496.0,0.0,28.0,0.0,,,,,,,3150.0,13.0,24.0,0.0
2020-03-05,3500.0,0.0,28.0,0.0,,,,,,,3150.0,13.0,24.0,0.0
2020-03-06,3506.0,0.0,28.0,0.0,,,,,,,3150.0,13.0,24.0,0.0
2020-03-07,3513.0,0.0,28.0,0.0,,,,,,,3150.0,13.0,24.0,0.0
2020-03-08,3517.0,0.0,28.0,0.0,,,,,,,3150.0,13.0,24.0,0.0
2020-03-09,3520.0,0.0,28.0,0.0,,,,,,,3150.0,13.0,24.0,0.0
2020-03-10,3531.0,0.0,28.0,0.0,,,,,,,3150.0,13.0,24.0,0.0
2020-03-11,3540.0,0.0,28.0,0.0,,,,,,,3150.0,13.0,24.0,0.0
2020-03-12,3548.0,0.0,28.0,0.0,,,,,,,3150.0,13.0,24.0,0.0
2020-03-13,,,,,,,,,,,3150.0,13.0,24.0,0.0
2020-03-14,,,,,,,,,,,3150.0,13.0,24.0,0.0
2020-03-15,,,,,,,,,,,3150.0,13.0,24.0,0.0
2020-03-16,,,,,,,,,,,,,,
2020-03-17,,,,,,,,,,,3150.0,13.0,24.0,0.0
2020-03-18,,,,,,,,,,,,,,
2020-03-19,,,,,,,,,,,,,,
2020-03-20,,,,,,,,,,,3150.0,13.0,24.0,0.0
