,BOP_confirmed,BOP_deaths,BOP_hospitalized,BOP_recovered,JHU_confirmed,JHU_deaths,JHU_recovered,NIHFogarty_confirmed,NIHFogarty_deaths,NIHFogarty_hospitalized,Tencent_confirmed,Tencent_deaths,Tencent_recovered,Tencent_suspected
2020-01-12,1.0,0.0,1.0,0.0,,,,,,,,,,
2020-01-13,,,,,,,,1.0,0.0,1.0,,,,
2020-01-17,2.0,0.0,2.0,0.0,,,,2.0,0.0,2.0,,,,
2020-01-22,4.0,0.0,3.0,0.0,2.0,0.0,0.0,5.0,0.0,5.0,,,,
2020-01-23,,,,,3.0,0.0,0.0,,,,,,,
2020-01-24,6.0,0.0,4.0,1.0,5.0,0.0,0.0,6.0,0.0,6.0,,,,
2020-01-25,14.0,0.0,5.0,1.0,7.0,0.0,0.0,,,,,,,
2020-01-26,,,,,8.0,0.0,2.0,8.0,0.0,6.0,,,,
2020-01-27,,,,,8.0,0.0,2.0,,,,,,,
2020-01-28,,,,,14.0,0.0,5.0,14.0,0.0,6.0,,,,
2020-01-29,,,,,14.0,0.0,5.0,,,,,,,
2020-01-30,,,,,14.0,0.0,5.0,15.0,0.0,6.0,,,,
2020-01-31,19.0,0.0,5.0,1.0,19.0,0.0,5.0,20.0,0.0,7.0,,,,
2020-02-01,,,,,19.0,0.0,5.0,,,,,,,
2020-02-02,,,,,19.0,0.0,5.0,,,,,,,
2020-02-03,25.0,0.0,5.0,1.0,19.0,0.0,5.0,,,,,,,
2020-02-04,,,,,25.0,0.0,5.0,25.0,0.0,7.0,25.0,0.0,8.0,0.0
2020-02-05,,,,,25.0,0.0,5.0,,,,25.0,0.0,8.0,0.0
2020-02-06,,,,,25.0,0.0,5.0,,,,25.0,0.0,8.0,0.0
2020-02-07,,,,,25.0,0.0,5.0,,,,25.0,0.0,8.0,0.0
2020-02-08,32.0,0.0,5.0,1.0,32.0,0.0,10.0,32.0,0.0,7.0,,,,
2020-02-09,,,,,32.0,0.0,10.0,,,,,,,
2020-02-10,,,,,32.0,0.0,10.0,,,,32.0,0.0,10.0,0.0
2020-02-11,33.0,0.0,6.0,1.0,33.0,0.0,10.0,33.0,0.0,8.0,33.0,0.0,10.0,0.0
2020-02-12,,,,,33.0,0.0,10.0,,,,,,,
2020-02-13,,,,,33.0,0.0,12.0,,,,33.0,0.0,10.0,0.0
2020-02-14,,,,,33.0,0.0,12.0,,,,33.0,0.0,10.0,0.0
2020-02-15,34.0,0.0,6.0,1.0,33.0,0.0,12.0,34.0,0.0,8.0,34.0,0.0,14.0,0.0
2020-02-16,,,,,34.0,0.0,14.0,35.0,0.0,8.0,34.0,0.0,14.0,0.0
2020-02-17,35.0,0.0,6.0,1.0,35.0,0.0,15.0,,,,35.0,0.0,14.0,0.0
2020-02-18,,,,,35.0,0.0,15.0,,,,35.0,0.0,15.0,0.0
2020-02-19,,,,,35.0,0.0,15.0,,,,35.0,0.0,15.0,0.0
2020-02-20,,,,,35.0,0.0,15.0,,,,35.0,0.0,15.0,0.0
2020-02-21,,,,,35.0,0.0,17.0,,,,,,,
2020-02-22,,,,,35.0,0.0,17.0,,,,,,,
2020-02-23,,,,,35.0,0.0,21.0,,,,,,,
2020-02-24,,,,,35.0,0.0,21.0,,,,,,,
2020-02-25,37.0,0.0,6.0,1.0,37.0,0.0,22.0,37.0,0.0,8.0,37.0,0.0,17.0,0.0
2020-02-26,40.0,0.0,7.0,1.0,40.0,0.0,22.0,40.0,0.0,9.0,40.0,0.0,22.0,0.0
2020-02-27,,,,,40.0,0.0,22.0,,,,40.0,0.0,22.0,0.0
2020-02-28,,,,,41.0,0.0,28.0,41.0,0.0,10.0,40.0,0.0,22.0,0.0
2020-02-29,,,,,42.0,0.0,28.0,,,,42.0,0.0,28.0,0.0
2020-03-01,,,,,42.0,1.0,28.0,,,,42.0,0.0,28.0,0.0
2020-03-02,41.0,0.0,7.0,1.0,43.0,1.0,31.0,,,,42.0,0.0,28.0,0.0
2020-03-03,,,,,43.0,1.0,31.0,,,,,,,
2020-03-04,,,,,43.0,1.0,31.0,,,,,,,
2020-03-05,,,,,47.0,1.0,31.0,,,,42.0,0.0,28.0,0.0
2020-03-06,,,,,48.0,1.0,31.0,,,,42.0,0.0,28.0,0.0
2020-03-07,,,,,50.0,1.0,31.0,,,,42.0,0.0,28.0,0.0
2020-03-08,,,,,,,,,,,42.0,0.0,28.0,0.0
