,BOP_confirmed,BOP_deaths,BOP_hospitalized,BOP_recovered,JHU_confirmed,JHU_deaths,JHU_recovered,NIHFogarty_confirmed,NIHFogarty_deaths,NIHFogarty_hospitalized,Tencent_confirmed,Tencent_deaths,Tencent_recovered,Tencent_suspected
2020-01-22,,,,,,,,,,,,,,
2020-01-23,,,,,,,,,,,,,,
2020-01-24,,,,,,,,,,,,,,
2020-01-25,,,,,,,,,,,,,,
2020-01-26,,,,,,,,,,,,,,
2020-01-27,,,,,,,,,,,,,,
2020-01-28,,,,,,,,,,,,,,
2020-01-29,,,,,,,,,,,,,,
2020-01-30,,,,,,,,,,,,,,
2020-01-31,2.0,0.0,0.0,0.0,,,,2.0,0.0,0.0,,,,
2020-02-01,,,,,,,,,,,,,,
2020-02-02,,,,,,,,,,,,,,
2020-02-03,,,,,,,,,,,,,,
2020-02-04,,,,,,,,,,,,,,
2020-02-05,,,,,,,,,,,,,,
2020-02-06,3.0,0.0,0.0,0.0,,,,3.0,0.0,0.0,,,,
2020-02-07,,,,,,,,,,,3.0,0.0,0.0,0.0
2020-02-08,,,,,,,,,,,,,,
2020-02-09,4.0,0.0,0.0,0.0,,,,4.0,0.0,0.0,,,,
2020-02-10,8.0,0.0,0.0,0.0,,,,8.0,0.0,0.0,8.0,0.0,0.0,0.0
2020-02-11,,,,,,,,,,,8.0,0.0,0.0,0.0
2020-02-12,9.0,0.0,0.0,0.0,,,,9.0,0.0,0.0,,,,
2020-02-13,,,,,,,,,,,9.0,0.0,0.0,0.0
2020-02-14,,,,,,,,,,,9.0,0.0,0.0,0.0
2020-02-15,,,,,,,,,,,,,,
2020-02-16,,,,,,,,,,,,,,
2020-02-17,,,,,,,,,,,,,,
2020-02-18,,,,,,,,,,,,,,
2020-02-19,,,,,,,,,,,,,,
2020-02-20,,,,,,,,,,,,,,
2020-02-21,,,,,,,,,,,,,,
2020-02-22,,,,,,,,,,,,,,
2020-02-23,13.0,0.0,0.0,0.0,,,,13.0,0.0,0.0,,,,
2020-02-24,,,,,,,,,,,,,,
2020-02-25,,,,,,,,,,,,,,
2020-02-26,,,,,,,,,,,13.0,0.0,8.0,0.0
2020-02-27,16.0,0.0,0.0,0.0,,,,16.0,0.0,0.0,,,,
2020-02-28,,,,,,,,20.0,0.0,0.0,16.0,0.0,8.0,0.0
2020-02-29,,,,,,,,,,,16.0,0.0,8.0,0.0
2020-03-01,17.0,0.0,1.0,0.0,,,,,,,16.0,0.0,8.0,0.0
2020-03-02,21.0,0.0,1.0,0.0,,,,,,,16.0,0.0,8.0,0.0
2020-03-03,,,,,,,,,,,16.0,0.0,8.0,0.0
2020-03-04,,,,,,,,,,,16.0,0.0,8.0,0.0
2020-03-05,24.0,0.0,1.0,0.0,,,,,,,16.0,0.0,8.0,0.0
2020-03-06,,,,,,,,,,,16.0,0.0,8.0,0.0
2020-03-07,,,,,,,,,,,16.0,0.0,8.0,0.0
2020-03-08,37.0,0.0,1.0,0.0,,,,,,,16.0,0.0,8.0,0.0
2020-03-09,47.0,0.0,1.0,0.0,,,,,,,16.0,0.0,8.0,0.0
2020-03-10,,,,,,,,,,,16.0,0.0,8.0,0.0
2020-03-11,,,,,,,,,,,16.0,0.0,8.0,0.0
2020-03-12,,,,,,,,,,,16.0,0.0,8.0,0.0
2020-03-13,,,,,,,,,,,16.0,0.0,8.0,0.0
2020-03-14,,,,,,,,,,,16.0,0.0,8.0,0.0
2020-03-15,,,,,,,,,,,16.0,0.0,8.0,0.0
2020-03-16,,,,,,,,,,,,,,
2020-03-17,,,,,,,,,,,16.0,0.0,8.0,0.0
2020-03-18,,,,,,,,,,,,,,
2020-03-19,,,,,,,,,,,,,,
2020-03-20,,,,,,,,,,,16.0,0.0,8.0,0.0
