pathogen,location,species,measure,horizon_date,p25,p50,p75,observed_span_days,n_obs,horizon_days,horizon_capped
Ebola Virus,"Africa, Democratic Republic of the Congo",humans,confirmed_cases,2026-08-21,4680.1,4680.1,4710.5,9,5,2,True
Ebola Virus,"Africa, Democratic Republic of the Congo",humans,confirmed_cases,2026-08-23,4787.8,4787.8,4818.9,9,5,4,True
Ebola Virus,"Africa, Democratic Republic of the Congo",humans,confirmed_cases,2026-08-26,4922.4,4922.4,4954.4,9,5,7,True
Ebola Virus,"Africa, Democratic Republic of the Congo",humans,confirmed_cases,2026-08-28,4996.8,4996.8,5029.2,9,5,9,True
Ebola Virus,"Africa, Democratic Republic of the Congo",humans,confirmed_deaths,2026-08-21,2214.1,2229.9,2292.3,10,5,2,True
Ebola Virus,"Africa, Democratic Republic of the Congo",humans,confirmed_deaths,2026-08-24,2323.8,2340.4,2405.9,10,5,5,True
Ebola Virus,"Africa, Democratic Republic of the Congo",humans,confirmed_deaths,2026-08-27,2413.0,2430.2,2498.2,10,5,8,True
Ebola Virus,"Africa, Democratic Republic of the Congo",humans,confirmed_deaths,2026-08-29,2462.6,2480.2,2549.6,10,5,10,True
Ebola Virus,Congo,humans,confirmed_cases,2026-08-24,5287.7,5351.6,5387.0,19,8,5,True
Ebola Virus,Congo,humans,confirmed_cases,2026-08-29,5559.3,5626.5,5663.7,19,8,10,True
Ebola Virus,Congo,humans,confirmed_cases,2026-09-02,5714.1,5783.2,5821.5,19,8,14,True
Ebola Virus,Congo,humans,confirmed_cases,2026-09-07,5850.8,5921.6,5960.8,19,8,19,True
Ebola Virus,Congo,humans,confirmed_deaths,2026-08-24,2549.0,2604.5,2609.6,19,9,5,True
Ebola Virus,Congo,humans,confirmed_deaths,2026-08-29,2708.4,2767.3,2772.7,19,9,10,True
Ebola Virus,Congo,humans,confirmed_deaths,2026-09-02,2799.9,2860.9,2866.4,19,9,14,True
Ebola Virus,Congo,humans,confirmed_deaths,2026-09-07,2881.2,2944.0,2949.6,19,9,19,True
Ebola Virus,Democratic Republic of the Congo,humans,confirmed_cases,2026-08-24,5227.0,5331.5,5420.1,19,80,5,True
Ebola Virus,Democratic Republic of the Congo,humans,confirmed_cases,2026-08-29,5501.5,5611.5,5704.7,19,80,10,True
Ebola Virus,Democratic Republic of the Congo,humans,confirmed_cases,2026-09-02,5658.1,5771.2,5867.0,19,80,14,True
Ebola Virus,Democratic Republic of the Congo,humans,confirmed_cases,2026-09-07,5796.4,5912.3,6010.5,19,80,19,True
Ebola Virus,Democratic Republic of the Congo,humans,confirmed_deaths,2026-08-24,2455.7,2548.3,2606.4,19,76,5,True
Ebola Virus,Democratic Republic of the Congo,humans,confirmed_deaths,2026-08-29,2612.2,2710.8,2772.5,19,76,10,True
Ebola Virus,Democratic Republic of the Congo,humans,confirmed_deaths,2026-09-02,2702.2,2804.2,2868.0,19,76,14,True
Ebola Virus,Democratic Republic of the Congo,humans,confirmed_deaths,2026-09-07,2782.2,2887.2,2952.9,19,76,19,True
Ebola Virus,Democratic Republic of the Congo,humans,suspected_cases,2026-08-23,850.7,957.9,1166.1,18,11,4,True
Ebola Virus,Democratic Republic of the Congo,humans,suspected_cases,2026-08-28,1061.0,1194.7,1454.3,18,11,9,True
Ebola Virus,Democratic Republic of the Congo,humans,suspected_cases,2026-09-02,1227.3,1381.9,1682.1,18,11,14,True
Ebola Virus,Democratic Republic of the Congo,humans,suspected_cases,2026-09-06,1329.2,1496.7,1821.9,18,11,18,True
Ebola Virus,Democratic Republic of the Congo,humans,suspected_deaths,2026-08-23,5634.2,13853.7,16947.0,18,12,4,True
Ebola Virus,Democratic Republic of the Congo,humans,suspected_deaths,2026-08-28,11644.5,28630.6,35023.0,18,12,9,True
Ebola Virus,Democratic Republic of the Congo,humans,suspected_deaths,2026-09-02,18789.2,46196.5,56510.8,18,12,14,True
Ebola Virus,Democratic Republic of the Congo,humans,suspected_deaths,2026-09-06,24424.9,60052.4,73460.2,18,12,18,True
Ebola Virus,"Eastern provinces, Democratic Republic of the Congo",humans,confirmed_cases,2026-08-22,4634.6,4686.1,4758.5,12,6,3,True
Ebola Virus,"Eastern provinces, Democratic Republic of the Congo",humans,confirmed_cases,2026-08-25,4842.2,4896.0,4971.7,12,6,6,True
Ebola Virus,"Eastern provinces, Democratic Republic of the Congo",humans,confirmed_cases,2026-08-28,5010.3,5066.0,5144.2,12,6,9,True
Ebola Virus,"Eastern provinces, Democratic Republic of the Congo",humans,confirmed_cases,2026-08-31,5145.2,5202.4,5282.7,12,6,12,True
Ebola Virus,"Eastern provinces, Democratic Republic of the Congo",humans,confirmed_deaths,2026-08-22,2157.7,2223.8,2263.5,12,5,3,True
Ebola Virus,"Eastern provinces, Democratic Republic of the Congo",humans,confirmed_deaths,2026-08-25,2279.3,2349.2,2391.1,12,5,6,True
Ebola Virus,"Eastern provinces, Democratic Republic of the Congo",humans,confirmed_deaths,2026-08-28,2378.8,2451.7,2495.4,12,5,9,True
Ebola Virus,"Eastern provinces, Democratic Republic of the Congo",humans,confirmed_deaths,2026-08-31,2459.2,2534.5,2579.7,12,5,12,True
Ebola Virus,"Ituri Province, Democratic Republic of the Congo",humans,suspected_cases,2026-08-22,536.1,603.3,720.2,12,5,3,True
Ebola Virus,"Ituri Province, Democratic Republic of the Congo",humans,suspected_cases,2026-08-25,620.6,698.3,833.6,12,5,6,True
Ebola Virus,"Ituri Province, Democratic Republic of the Congo",humans,suspected_cases,2026-08-28,695.4,782.5,934.0,12,5,9,True
Ebola Virus,"Ituri Province, Democratic Republic of the Congo",humans,suspected_cases,2026-08-31,759.9,855.0,1020.6,12,5,12,True
Ebola Virus,"Multiple areas, Democratic Republic of the Congo",humans,confirmed_cases,2026-08-23,4908.1,4975.5,5049.1,17,8,4,True
Ebola Virus,"Multiple areas, Democratic Republic of the Congo",humans,confirmed_cases,2026-08-27,5131.2,5201.7,5278.7,17,8,8,True
Ebola Virus,"Multiple areas, Democratic Republic of the Congo",humans,confirmed_cases,2026-09-01,5331.4,5404.7,5484.7,17,8,13,True
Ebola Virus,"Multiple areas, Democratic Republic of the Congo",humans,confirmed_cases,2026-09-05,5444.5,5519.4,5601.0,17,8,17,True
Ebola Virus,"Multiple areas, Democratic Republic of the Congo",humans,confirmed_deaths,2026-08-23,2261.4,2273.6,2322.4,16,8,4,True
Ebola Virus,"Multiple areas, Democratic Republic of the Congo",humans,confirmed_deaths,2026-08-27,2379.5,2392.3,2443.6,16,8,8,True
Ebola Virus,"Multiple areas, Democratic Republic of the Congo",humans,confirmed_deaths,2026-08-31,2467.8,2481.2,2534.4,16,8,12,True
Ebola Virus,"Multiple areas, Democratic Republic of the Congo",humans,confirmed_deaths,2026-09-04,2533.2,2546.8,2601.5,16,8,16,True
Ebola Virus,"Multiple, Democratic Republic of the Congo",humans,confirmed_cases,2026-08-23,5076.3,5129.9,5356.1,16,10,4,True
Ebola Virus,"Multiple, Democratic Republic of the Congo",humans,confirmed_cases,2026-08-27,5376.7,5433.4,5673.0,16,10,8,True
Ebola Virus,"Multiple, Democratic Republic of the Congo",humans,confirmed_cases,2026-08-31,5602.7,5661.8,5911.4,16,10,12,True
Ebola Virus,"Multiple, Democratic Republic of the Congo",humans,confirmed_cases,2026-09-04,5770.5,5831.3,6088.4,16,10,16,True
Ebola Virus,"Multiple, Democratic Republic of the Congo",humans,confirmed_deaths,2026-08-22,2181.3,2238.5,2264.0,13,8,3,True
